"year","start","end"
"1950","1951-02-03","1951-03-25"
"1952","1953-01-17","1953-05-30"
"1955","1956-02-11","1956-04-14"
"1957","1957-09-15","1957-11-23"
"1958","1959-02-28","1959-05-09"
"1960","1961-03-20","1961-06-05"
"1962","1963-02-09","1963-05-04"
"1963","1963-10-12","1964-05-09"
"1964","1965-01-30","1965-06-26"
"1965","1966-01-22","1966-06-25"
"1967","1967-12-25","1968-02-24"
"1970","1971-01-01","1971-02-27"
"1971","1971-12-20","1972-03-18"
"1972","1972-12-30","1973-03-17"
"1973","1974-02-15","1974-05-18"
"1974","1975-01-01","1975-03-29"
"1975","1976-01-31","1976-04-24"
"1977","1977-12-03","1978-03-04"
"1978","1978-12-02","1979-02-24"
"1979","1980-01-20","1980-03-15"
"1980","1980-08-30","1980-11-29"
"1981","1981-12-20","1982-06-05"
"1982","1982-11-01","1983-03-10"
"1983","1983-12-20","1984-03-27"
"1984","1984-12-20","1985-05-10"
"1985","1985-12-20","1986-04-26"
"1986","1986-09-13","1987-04-18"
"1988","1989-01-01","1989-02-25"
"1991","1991-11-01","1991-12-30"
"1993","1993-12-01","1994-02-28"
"1994","1995-01-20","1995-04-01"
"1995","1995-12-20","1996-04-20"
"1996","1996-11-15","1997-02-08"
"1997","1997-12-25","1998-03-30"
"1998","1999-01-02","1999-04-20"
"1999","1999-11-27","2000-02-12"
"2000","2000-12-27","2001-04-01"
"2001","2002-01-01","2002-04-01"
"2002","2002-11-23","2003-02-01"
"2003","2003-11-01","2004-02-01"
"2004","2004-12-11","2005-04-16"
"2005","2006-01-11","2006-04-29"
"2006","2006-12-01","2007-03-29"
"2007","2008-01-15","2008-04-29"
"2008","2009-04-01","2009-07-18"
"2009","2009-10-03","2009-11-28"
"2010","2010-11-15","2011-03-28"
"2011","2012-01-14","2012-04-30"
"2012","2012-11-10","2013-01-30"
"2013","2013-11-23","2014-05-10"
"2014","2014-11-20","2015-02-28"
"2015","2016-01-02","2016-04-28"
"2016","2016-11-20","2017-04-20"
"2017","2017-11-20","2018-04-20"
"2018","2018-11-20","2019-04-20"
"2019","2019-11-20","2020-02-29"
"1959","1960-02-27","1960-04-09"
"1968","1968-12-07","1969-03-29"
"1976","1977-01-22","1977-04-02"
