"year","start","end"
"1940","1940-10-12","1941-07-29"
"1941","1941-10-10","1942-08-01"
"1942","1943-01-20","1943-08-01"
"1943","1943-10-01","1944-08-01"
"1944","1944-10-01","1945-08-01"
"1945","1945-10-01","1946-08-01"
"1946","1947-02-01","1947-08-01"
"1947","1947-10-05","1948-08-01"
"1948","1948-10-01","1949-08-15"
"1949","1949-10-25","1950-08-20"
"1950","1950-09-16","1951-08-20"
"1951","1951-10-01","1952-08-20"
"1952","1952-10-01","1953-08-01"
"1953","1953-10-01","1954-08-01"
"1954","1954-10-01","1955-08-01"
"1955","1955-10-01","1956-08-01"
"1956","1956-10-06","1957-08-01"
"1957","1958-01-04","1958-08-16"
"1958","1958-10-04","1959-08-01"
"1959","1959-10-04","1960-08-01"
"1960","1960-12-01","1961-08-01"
"1961","1961-11-01","1962-08-01"
"1962","1962-11-01","1963-08-01"
"1963","1963-11-01","1964-08-01"
"1964","1964-10-30","1965-08-01"
"1965","1965-10-01","1966-08-01"
"1966","1966-11-01","1967-08-01"
"1967","1967-10-01","1968-08-01"
"1968","1969-01-01","1969-08-16"
"1969","1969-12-01","1970-07-20"
"1970","1970-10-01","1971-07-20"
"1972","1972-12-01","1973-08-01"
"1973","1973-12-01","1974-08-01"
"1974","1974-10-10","1975-07-15"
"1975","1975-10-20","1976-07-31"
"1976","1977-01-01","1977-07-31"
"1977","1978-01-28","1978-07-31"
"1978","1978-12-28","1979-07-31"
"1979","1980-01-12","1980-07-19"
