"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","1939-01-01","1939-01-07","measles","","measles",670,"ONT.","province","wk","measles","","",7,"1939-01-04",3708000,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-01-08","1939-01-14","measles","","measles",850,"ONT.","province","wk","measles","","",7,"1939-01-11",3708748,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-01-15","1939-01-21","measles","","measles",932,"ONT.","province","wk","measles","","",7,"1939-01-18",3709496,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-01-22","1939-01-28","measles","","measles",933,"ONT.","province","wk","measles","","",7,"1939-01-25",3710244,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-01-29","1939-02-04","measles","","measles",1335,"ONT.","province","wk","measles","","",7,"1939-02-01",3710992,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-02-05","1939-02-11","measles","","measles",1033,"ONT.","province","wk","measles","","",7,"1939-02-08",3711740,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-02-12","1939-02-18","measles","","measles",1161,"ONT.","province","wk","measles","","",7,"1939-02-15",3712488,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-02-19","1939-02-25","measles","","measles",999,"ONT.","province","wk","measles","","",7,"1939-02-22",3713236,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-02-26","1939-03-04","measles","","measles",1131,"ONT.","province","wk","measles","","",7,"1939-03-01",3713984,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-03-05","1939-03-11","measles","","measles",845,"ONT.","province","wk","measles","","",7,"1939-03-08",3714732,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-03-12","1939-03-18","measles","","measles",969,"ONT.","province","wk","measles","","",7,"1939-03-15",3715479,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-03-19","1939-03-25","measles","","measles",879,"ONT.","province","wk","measles","","",7,"1939-03-22",3716227,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-03-26","1939-04-01","measles","","measles",950,"ONT.","province","wk","measles","","",7,"1939-03-29",3716975,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-04-02","1939-04-08","measles","","measles",790,"ONT.","province","wk","measles","","",7,"1939-04-05",3717723,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-04-09","1939-04-15","measles","","measles",745,"ONT.","province","wk","measles","","",7,"1939-04-12",3718471,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-04-16","1939-04-22","measles","","measles",845,"ONT.","province","wk","measles","","",7,"1939-04-19",3719219,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-04-23","1939-04-29","measles","","measles",746,"ONT.","province","wk","measles","","",7,"1939-04-26",3719967,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-04-30","1939-05-06","measles","","measles",877,"ONT.","province","wk","measles","","",7,"1939-05-03",3720715,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-05-07","1939-05-13","measles","","measles",726,"ONT.","province","wk","measles","","",7,"1939-05-10",3721463,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-05-14","1939-05-20","measles","","measles",760,"ONT.","province","wk","measles","","",7,"1939-05-17",3722211,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-05-21","1939-05-27","measles","","measles",904,"ONT.","province","wk","measles","","",7,"1939-05-24",3722959,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-05-28","1939-06-03","measles","","measles",936,"ONT.","province","wk","measles","","",7,"1939-05-31",3723707,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-06-04","1939-06-10","measles","","measles",1229,"ONT.","province","wk","measles","","",7,"1939-06-07",3724455,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-06-11","1939-06-17","measles","","measles",720,"ONT.","province","wk","measles","","",7,"1939-06-14",3725203,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-06-18","1939-06-24","measles","","measles",795,"ONT.","province","wk","measles","","",7,"1939-06-21",3725951,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-06-25","1939-07-01","measles","","measles",582,"ONT.","province","wk","measles","","",7,"1939-06-28",3726699,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-07-02","1939-07-08","measles","","measles",609,"ONT.","province","wk","measles","","",7,"1939-07-05",3727447,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-07-09","1939-07-15","measles","","measles",418,"ONT.","province","wk","measles","","",7,"1939-07-12",3728195,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-07-16","1939-07-22","measles","","measles",252,"ONT.","province","wk","measles","","",7,"1939-07-19",3728942,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-07-23","1939-07-29","measles","","measles",145,"ONT.","province","wk","measles","","",7,"1939-07-26",3729690,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1939-07-30","1939-08-05","measles","","measles",128,"ONT.","province","wk","measles","","",7,"1939-08-02",3730438,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
